60	19
64	35
71	29
79	19
93	19
99	19
116	19
131	22
134	19
157	19
164	35
176	19
193	19
194	35
225	22
276	35
314	19
340	19
344	35
370	19
373	35
388	19
389	19
416	19
417	19
443	22
447	22
449	35
511	35
517	29
518	22
551	35
571	35
591	3
593	3
608	25
633	35
670	25
671	25
675	29
681	3
703	22
729	25
730	25
739	3
751	25
757	3
765	25
768	35
779	3
790	25
797	3
816	19
887	35
902	35
918	35
940	5
944	5
945	5
951	35
959	5
973	5
983	35
1123	5
1167	9
1178	5
1179	5
1205	12
1206	12
1207	12
1208	5
1209	5
1210	5
1211	5
1212	5
1213	5
1217	19
1365	29
1370	9
1384	9
1427	9
1454	35
1462	9
1486	9
1531	35
1554	35
1576	2
1654	3
1675	25
1692	3
1699	25
1700	25
1703	29
1725	25
1727	35
1740	35
1744	5
1822	35
1846	20
1856	35
1918	35
2003	25
2020	35
2029	22
2035	3
2040	3
2046	35
2088	22
2090	3
2097	22
2103	25
2113	3
2126	25
2127	25
2137	3
2138	3
2151	25
2156	3
2172	25
2178	3
2192	25
2202	3
2205	3
2214	22
2217	22
2219	22
2220	3
2224	22
2227	22
2232	22
2237	22
2238	29
2242	22
2244	3
2259	35
2267	3
2268	3
2296	22
2297	3
2305	22
2314	22
2315	10
2321	22
2324	22
2327	22
2330	3
2331	3
2332	3
2340	22
2344	22
2348	22
2353	22
2354	25
2359	22
2363	3
2368	22
2369	3
2373	22
2383	22
2392	35
2394	22
2395	25
2398	22
2400	22
2403	22
2408	22
2412	22
2414	25
2421	22
2427	22
2430	3
2432	22
2433	3
2442	22
2447	35
2449	22
2450	25
2459	3
2477	35
2491	3
2510	35
2513	25
2520	3
2523	22
2543	25
2553	22
2564	22
2567	20
2572	20
2578	10
2583	35
2585	22
2586	25
2596	3
2598	3
2613	25
2642	25
2664	22
2671	3
2675	3
2682	22
2683	25
2692	22
2711	35
2714	25
2728	11
2731	11
2773	11
2774	11
2775	11
2777	11
2797	10
2824	11
2825	11
2828	11
2830	22
2842	22
2874	11
2877	11
2888	14
2897	10
2922	11
2923	11
2924	11
2930	11
2953	29
2958	22
2963	11
2964	11
2969	11
2981	14
2985	27
2989	22
2999	22
3013	35
3019	22
3025	22
3031	11
3034	11
3065	22
3092	11
3100	27
3103	14
3106	22
3115	10
3117	22
3167	22
3178	29
3185	22
3189	22
3194	22
3200	22
3204	2
3208	22
3213	22
3218	22
3223	22
3229	22
3268	5
3269	5
3307	10
3315	29
3391	22
3401	22
3408	22
3416	22
3419	22
3431	22
3433	22
3437	22
3442	22
3445	22
3464	35
3470	22
3485	35
3496	11
3505	22
3527	11
3528	11
3529	11
3535	22
3536	11
3545	10
3555	29
3558	11
3572	35
3586	11
3588	11
3596	10
3614	11
3616	11
3618	11
3634	22
3637	22
3642	11
3643	11
3645	11
3668	2
3674	11
3675	11
3677	11
3694	35
3714	11
3715	11
3730	10
3744	29
3756	35
3771	11
3792	10
3798	35
3808	11
3810	11
3843	22
3853	11
3867	10
3873	22
3882	29
3891	11
3915	11
3922	22
3923	10
3941	11
3953	22
3961	29
3969	11
3971	20
3974	10
3982	11
3983	11
3992	22
4001	22
4002	22
4006	11
4008	11
4038	11
4039	11
4041	11
4056	22
4079	22
4095	22
4107	22
4132	22
4133	29
4138	22
4150	14
4153	22
4171	22
4172	10
4192	22
4215	22
4225	22
4252	22
4279	22
4299	22
4323	22
4342	22
4357	22
4384	22
4394	14
4398	22
4417	10
4422	22
4442	22
4461	22
4472	22
4498	22
4519	22
4538	22
4563	22
4584	22
4597	22
4616	14
4620	22
4642	22
4649	10
4650	10
4666	22
4688	20
4695	22
4706	22
4713	29
4730	22
4750	27
4756	22
4758	1
4778	22
4795	35
4800	22
4823	22
4824	22
4836	22
4837	22
4861	22
4867	20
4884	14
4888	22
